State,race,college
Maine,94.0,30.9
Vermont,93.8,37.3
West Virginia,93.1,20.3
New Hampshire,92.6,36.5
Wyoming,90.9,26.9
Iowa,89.9,28.2
Idaho,89.4,26.9
Montana,88.0,31.2
Utah,87.3,33.3
Kentucky,86.7,23.6
Nebraska,86.2,31.3
North Dakota,85.8,29.5
Wisconsin,85.2,29.5
South Dakota,84.1,28.5
Colorado,83.7,40.1
Kansas,83.6,32.9
Oregon,83.5,32.9
Indiana,82.8,25.9
Minnesota,82.1,35.4
Missouri,81.8,28.6
Ohio,80.9,27.8
Pennsylvania,79.6,30.8
Rhode Island,78.7,33.3
Arizona,78.3,28.9
Michigan,78.2,28.6
Tennessee,77.2,26.6
Massachusetts,77.0,42.9
Arkansas,76.7,22.6
Connecticut,74.6,38.9
Florida,74.5,29.2
Washington,74.2,35.3
New Mexico,73.9,27.1
Texas,73.4,29.3
Oklahoma,72.4,25.2
Illinois,71.4,34.1
North Carolina,68.1,30.5
Alabama,67.8,24.9
Delaware,67.7,31.4
New Jersey,67.1,38.9
Virginia,67.0,38.2
South Carolina,66.7,27.4
Nevada,64.6,24.2
Alaska,64.2,29.2
New York,63.2,35.9
Louisiana,61.8,23.7
California,59.4,33.3
Mississippi,58.0,21.8
Georgia,57.8,30.7
Maryland,54.5,39.6
District of Columbia,42.5,57.6
Hawaii,24.1,32.5
