,state,Kerry,year,,state_po
1,Alabama,37.6,2004,AL,
2,Alaska,30,2004,AK,
3,Arizona,42.8,2004,AZ,
4,Arkansas,45.6,2004,AR,
5,California,51.8,2004,CA,
6,Colorado,46.4,2004,CO,
7,Connecticut,51,2004,CT,
8,D.C.,78,2004,DC,
9,Delaware,47.5,2004,DE,
10,Florida,48.2,2004,FL,
11,Georgia,41,2004,GA,
12,Hawaii,46.33333333,2004,HI,
13,Idaho,30,2004,ID,
14,Illinois,53,2004,IL,
15,Indiana,39,2004,IN,
16,Iowa,48,2004,IA,
17,Kansas,35,2004,KS,
18,Kentucky,38,2004,KY,
19,Louisiana,37,2004,LA,
20,Maine,48.8,2004,ME,
21,Maryland,54.2,2004,MD,
22,Massachusetts,57,2004,MA,
23,Michigan,49.8,2004,MI,
24,Minnesota,49.8,2004,MN,
25,Mississippi,42,2004,MS,
26,Missouri,45.2,2004,MO,
27,Montana,34.5,2004,MT,
28,Nebraska,31,2004,NE,
29,Nevada,46,2004,NV,
30,New Hampshire,48,2004,NH,
31,New Jersey,48.4,2004,NJ,
32,New Mexico,47.2,2004,NM,
33,New York,54.8,2004,NY,
34,North Carolina,44,2004,NC,
35,North Dakota,34,2004,ND,
36,Ohio,45.4,2004,OH,
37,Oklahoma,31.4,2004,OK,
38,Oregon,50.4,2004,OR,
39,Pennsylvania,48.4,2004,PA,
40,Rhode Island,55.75,2004,RI,
41,South Carolina,41,2004,SC,
42,South Dakota,36,2004,SD,
43,Tennessee,40.8,2004,TN,
44,Texas,35.8,2004,TX,
45,Utah,24.75,2004,UT,
46,Vermont,51.5,2004,VT,
47,Virginia,44.6,2004,VA,
48,Washington,51,2004,WA,
49,West Virginia,44.4,2004,WV,
50,Wisconsin,47.8,2004,WI,
51,Wyoming,29,2004,WY,
