DATE,ALUR,AKUR,AZUR,ARUR,CAUR,COUR,CTUR,DEUR,FLUR,GAUR,HIURN,IDUR,ILURN,INUR,IAUR,KSURN,KYURN,LAUR,MEUR,MDUR,MAUR,MIUR,MNURN,MSUR,MOUR,MTUR,NEUR,NVUR,NHUR,NJURN,NMUR,NYUR,NCURN,NDUR,OHUR,OKUR,ORUR,PAUR,RIUR,SCUR,SDUR,TNUR,TXUR,UTUR,VTUR,VAUR,WAUR,WVUR,WIUR,WYUR,DCUR,UNRATE
1/1/1976,6.666666667,7.1,10.3,7.4,9.066666667,5.466666667,9.8,7.7,9.566666667,8.4,10.13333333,5.466666667,7.3,6.5,4.2,4.733333333,6.6,6.3,8.766666667,6.5,10.3,9.9,7.233333333,6.7,6,5.866666667,3.3,8.966666667,6.8,10.76666667,8.9,10.26666667,7.166666667,3.3,8.1,5.9,9.666666667,8.1,8.1,7.566666667,3.166666667,6,5.866666667,5.8,8.7,5.9,8.7,7.866666667,5.766666667,4.133333333,9,3.733333333
4/1/1976,6.466666667,7.0,9.8,7.2,8.933333333,5.5,9.6,8.4,9.1,8.1,9.733333333,5.566666667,6.3,6.033333333,4,4.233333333,5.166666667,6.6,8.6,6.6,9.933333333,9.6,5.4,6.7,6.066666667,5.9,3.133333333,8.8,6.6,10.16666667,8.9,10.2,5.833333333,3.5,7.866666667,5.8,9.233333333,8.1,8.033333333,7.133333333,3.033333333,5.833333333,5.866666667,5.6,8.6,5.8,8.733333333,7.766666667,5.5,4.066666667,8.733333333,3.666666667
7/1/1976,6.766666667,7.6,9.4,6.7,9.1,5.966666667,9.166666667,9.4,8.8,7.966666667,9.233333333,5.6,6.7,5.7,3.833333333,4.066666667,5.2,6.966666667,8.533333333,6.7,9.233333333,9.1,5.5,6.6,6.3,6,3.133333333,8.633333333,6.333333333,10.43333333,8.866666667,10.2,5.933333333,3.866666667,7.533333333,5.6,9.1,7.8,8.2,6.9,3.2,6,5.733333333,5.466666667,8.166666667,5.8,8.9,7.033333333,5.4,3.866666667,8.9,3.766666667
10/1/1976,7.166666667,8.4,9.3,6.6,9.333333333,6.3,8.533333333,9.766666667,8.966666667,8.166666667,8.433333333,5.666666667,6.233333333,5.833333333,3.9,3.8,4.633333333,7,8.8,6.8,8.8,9,5.366666667,6.4,6.566666667,6,3.2,8.666666667,6.3,10.23333333,8.9,10.16666667,6.1,4.1,7.566666667,5.433333333,9.233333333,7.9,8.5,7.1,3.466666667,6.366666667,5.666666667,5.4,7.833333333,5.8,9.166666667,6.633333333,5.4,3.8,9.166666667,3.833333333
1/1/1977,7.666666667,9.2,9,6.6,9.066666667,6.6,7.866666667,9.5,9,7.866666667,8.266666667,5.8,6.466666667,5.8,3.9,4.6,5.933333333,6.966666667,8.933333333,6.733333333,8.466666667,8.766666667,6.766666667,6.2,6.366666667,6.1,3.233333333,8.166666667,6.2,11.23333333,8.6,9.866666667,6.733333333,4.4,7.4,5.4,8.866666667,7.966666667,8.5,7.3,3.566666667,6.6,5.6,5.4,7.633333333,5.766666667,9.266666667,6.9,5.366666667,3.766666667,9.2,4.666666667
4/1/1977,7.766666667,9.8,8.5,6.5,8.5,6.566666667,7.2,8.7,8.533333333,7.033333333,7.633333333,5.866666667,5.966666667,5.733333333,3.9,3.966666667,4.533333333,6.8,8.566666667,6.233333333,8.033333333,8.3,5.366666667,6.2,6.133333333,6.233333333,3.333333333,7.2,5.766666667,9.366666667,8,9.3,5.9,4.566666667,6.633333333,5.266666667,7.866666667,7.733333333,8.2,7.033333333,3.4,6.366666667,5.3,5.333333333,7.2,5.5,8.9,6.9,5.1,3.5,9.333333333,5.866666667
7/1/1977,7.133333333,10.0,8.1,6.4,8.066666667,6.2,6.7,8,7.833333333,6.566666667,7.6,5.866666667,6.366666667,5.8,3.9,3.8,4.6,7,8.033333333,6.033333333,7.6,8.1,4.9,6.2,6,6.366666667,3.533333333,6.2,5.1,8.966666667,7.3,8.833333333,5.833333333,4.6,6.133333333,4.8,6.866666667,7.566666667,7.9,6.666666667,3.133333333,6.033333333,5.2,5.1,6.7,5.3,8.266666667,6.833333333,5,3.2,9.266666667,6.7
10/1/1977,6.7,10.5,7.3,6.3,7.7,6.1,6.2,7.633333333,7.333333333,6.166666667,8.066666667,5.533333333,6,5.8,3.833333333,3.3,4.333333333,7.5,7.433333333,6,7,7.7,4.1,6.4,5.7,6.5,3.733333333,5.333333333,4.666666667,7.9,6.533333333,8.5,5.166666667,4.566666667,5.9,4.333333333,6.133333333,7.4,7.5,6.366666667,3.066666667,5.933333333,5.2,4.666666667,6.4,5.333333333,7.433333333,6.9,5,3.066666667,8.933333333,6.966666667
1/1/1978,6.366666667,10.9,6.6,6.1,7.533333333,6,5.566666667,7.566666667,6.9,5.666666667,7.2,5.2,6.8,5.733333333,3.9,3.833333333,6,7.6,6.733333333,5.633333333,6.533333333,7.033333333,4.966666667,6.5,5.5,6.366666667,3.7,4.6,4.233333333,8.1,6,8.133333333,5.166666667,4.333333333,5.6,4.133333333,5.633333333,7.2,7.1,5.9,2.933333333,5.766666667,5,4.233333333,5.966666667,5.366666667,6.833333333,6.566666667,4.9,2.933333333,8.6,6.4
4/1/1978,6.033333333,10.9,6.1,6,7.4,5.7,5.133333333,7.5,6.733333333,5.7,7.133333333,5.2,5.9,5.566666667,3.8,3,4.733333333,7.1,6.266666667,5.466666667,6.266666667,6.8,3.733333333,6.6,5.033333333,5.9,3.2,4.233333333,3.933333333,7.133333333,5.8,7.866666667,4.333333333,4.133333333,5.433333333,3.6,5.7,6.9,6.633333333,5.866666667,3.066666667,5.766666667,4.766666667,3.766666667,5.6,5.3,6.7,5.833333333,4.9,2.933333333,8.466666667,5.566666667
